WHITE	#FFFFFF	RGB(255, 255, 255)
SILVER	#C0C0C0	RGB(192, 192, 192)
GRAY	#808080	RGB(128, 128, 128)
BLACK	#000000	RGB(0, 0, 0)
RED	#FF0000	RGB(255, 0, 0)
MAROON	#800000	RGB(128, 0, 0)
YELLOW	#FFFF00	RGB(255, 255, 0)
OLIVE	#808000	RGB(128, 128, 0)
LIME	#00FF00	RGB(0, 255, 0)
GREEN	#008000	RGB(0, 128, 0)
AQUA	#00FFFF	RGB(0, 255, 255)
TEAL	#008080	RGB(0, 128, 128)
BLUE	#0000FF	RGB(0, 0, 255)
NAVY	#000080	RGB(0, 0, 128)
FUCHSIA	#FF00FF	RGB(255, 0, 255))
PURPLE	#800080	RGB(128, 0, 128))
	
#FF8080
#FFFF80
#80FF80
#00FF80
#80FFFF
#0080FF
#FF80C0
#FF80FF
#80FF00
#00FF40
#0080C0
#8080C0
#804040
#FF8040
#004080
#8080FF
#800040
#FF0080
#FF8000
#008040
#0000A0
#8000FF
#400000
#804000
#004000
#004040
#000040
#400040
#400080
#808040
#408080
#400040
